sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
女,-1,5.0,01-01,94,22,5.0,1.0,0,0,0,0
保密,-1,3.0,01-01,21,4,19.0,2.0,1,0,1,0
保密,-1,3.0,01-01,27,52,14774.0,624.0,1,0,2,0
女,0,6.0,08-25,86,342492,18127634.0,924152.0,379,0,110,7
女,-1,5.0,05-02,43,4423,82199.0,1776.0,15,0,5,0
女,-1,3.0,06-16,86,24,16935.0,470.0,2,0,2,0
男,-1,4.0,06-12,27,16,8791.0,11.0,0,0,5,0
保密,-1,6.0,01-01,8,6448,3616535.0,159632.0,3,0,20,0
男,-1,6.0,01-01,391,2925,442582.0,10586.0,2,0,66,0
男,-1,5.0,12-31,57,38,2404.0,19.0,0,0,8,0
男,-1,5.0,01-01,138,7,611.0,3.0,0,0,1,0
